timestamp,base_currency,close,high,low,open,quote_currency
2003-03-03,GBP,2.34432,2.34914,2.33143,2.33248,CAD
2003-03-03,GBP,185.61444,186.43608,184.90739,185.95995,JPY
2003-03-03,GBP,2.11202,2.13727,2.11039,2.13276,CHF
2003-03-03,EUR,0.68984,0.69089,0.68425,0.6853,GBP
2003-03-03,GBP,1.5792,1.5808,1.5716,1.5726,USD
2003-03-03,GBP,2.57199,2.597,2.56341,2.58694,AUD
2003-03-04,GBP,2.33496,2.35722,2.33272,2.34417,CAD
2003-03-04,GBP,186.51836,186.82353,185.52051,185.56769,JPY
2003-03-04,GBP,2.11786,2.12055,2.11144,2.11202,CHF
2003-03-04,EUR,0.68859,0.69076,0.68771,0.68984,GBP
2003-03-04,GBP,1.5812,1.5854,1.5786,1.5792,USD
2003-03-04,GBP,2.58113,2.58641,2.56915,2.57157,AUD
2003-03-05,GBP,2.35224,2.35887,2.33481,2.33525,CAD
2003-03-05,GBP,187.92847,188.10849,186.00061,186.54195,JPY
2003-03-05,GBP,2.13152,2.13247,2.1095,2.11828,CHF
2003-03-05,EUR,0.68442,0.69151,0.68394,0.6885,GBP
2003-03-05,GBP,1.6018,1.6042,1.581,1.5814,USD
2003-03-05,GBP,2.59864,2.60754,2.57305,2.58146,AUD
2003-03-06,GBP,2.35837,2.36417,2.34944,2.35256,CAD
2003-03-06,GBP,188.16345,188.64789,187.64151,187.87286,JPY
2003-03-06,GBP,2.14073,2.14337,2.12835,2.13152,CHF
2003-03-06,EUR,0.68421,0.68629,0.68173,0.68442,GBP
2003-03-06,GBP,1.6039,1.6063,1.5988,1.6018,USD
2003-03-06,GBP,2.61264,2.61962,2.59744,2.59864,AUD
2003-03-07,GBP,2.34901,2.36531,2.34628,2.35883,CAD
2003-03-07,GBP,187.69784,188.42577,186.43271,188.19702,JPY
2003-03-07,GBP,2.14123,2.14457,2.12962,2.14099,CHF
2003-03-07,EUR,0.68681,0.6887,0.68408,0.68412,GBP
2003-03-07,GBP,1.6032,1.609,1.5963,1.6041,USD
2003-03-07,GBP,2.61406,2.61481,2.59984,2.61254,AUD
2003-03-10,GBP,2.3441,2.35232,2.33148,2.35028,CAD
2003-03-10,GBP,187.02974,187.73827,185.84921,187.60591,JPY
