timestamp,base_currency,close,high,low,open,quote_currency
1996-09-02,EUR,0.81355,0.81582,0.81295,0.81448,GBP
1996-09-03,EUR,0.81071,0.81369,0.81001,0.81355,GBP
1996-09-04,EUR,0.81327,0.81333,0.80968,0.81071,GBP
1996-09-05,EUR,0.81034,0.81335,0.80969,0.81327,GBP
1996-09-06,EUR,0.81058,0.81203,0.80998,0.81034,GBP
1996-09-09,EUR,0.8094,1.2641,0.80907,0.81058,GBP
1996-09-10,EUR,0.80547,0.81024,0.80484,0.8094,GBP
1996-09-11,EUR,0.80593,1.2524,0.80419,0.80528,GBP
1996-09-12,EUR,0.80495,0.8075,0.80392,0.80593,GBP
1996-09-13,EUR,0.80415,0.8057,0.80313,0.80501,GBP
1996-09-16,EUR,0.80438,0.80746,0.80398,0.80422,GBP
1996-09-17,EUR,0.80521,0.80654,0.80438,0.80438,GBP
1996-09-18,EUR,0.80463,1.2527,0.80291,0.80521,GBP
1996-09-19,EUR,0.80592,0.80754,0.80341,0.80463,GBP
1996-09-20,EUR,0.80602,1.25253,0.80499,0.80585,GBP
1996-09-23,EUR,0.80874,0.80944,0.80557,0.80583,GBP
1996-09-24,EUR,0.80954,0.80998,0.80646,0.80874,GBP
1996-09-25,EUR,0.80614,0.8101,0.80574,0.80958,GBP
1996-09-26,EUR,0.80268,0.80852,0.80208,0.80614,GBP
1996-09-27,EUR,0.79994,0.80364,0.79914,0.80267,GBP
1996-09-30,EUR,0.79892,0.80096,0.79694,0.79994,GBP
