timestamp,base_currency,close,high,low,open,quote_currency
1993-07-01,EUR,0.76384,1.1548,0.7622,0.7695,GBP
1993-07-02,EUR,0.76491,1.1577,0.76209,0.76384,GBP
1993-07-05,EUR,0.76386,1.1541,0.76257,0.76487,GBP
1993-07-06,EUR,0.76438,1.1526,0.7616,0.76386,GBP
1993-07-07,EUR,0.76762,1.1516,0.76414,0.76438,GBP
1993-07-08,EUR,0.76708,1.1493,0.7653,0.76762,GBP
1993-07-09,EUR,0.76542,1.1478,0.76494,0.7668,GBP
1993-07-12,EUR,0.76296,1.135,0.76126,0.76549,GBP
1993-07-13,EUR,0.75845,1.1373,0.75793,0.76282,GBP
1993-07-14,EUR,0.75582,1.1365,0.75522,0.75845,GBP
1993-07-15,EUR,0.75932,1.1342,0.7545,0.75582,GBP
1993-07-16,EUR,0.76226,0.76314,0.75915,0.75932,GBP
1993-07-19,EUR,0.76142,1.1417,0.76002,0.76226,GBP
1993-07-20,EUR,0.75866,1.1458,0.75569,0.76195,GBP
1993-07-21,EUR,0.75561,1.1468,0.7549,0.75866,GBP
1993-07-22,EUR,0.75838,1.1408,0.74985,0.75561,GBP
1993-07-23,EUR,0.75065,1.1346,0.75028,0.75831,GBP
1993-07-26,EUR,0.7508,1.1274,0.7483,0.75171,GBP
1993-07-27,EUR,0.75553,1.127,0.75075,0.7508,GBP
1993-07-28,EUR,0.75567,1.1301,0.75504,0.75546,GBP
1993-07-29,EUR,0.75182,1.1319,0.74971,0.75545,GBP
1993-07-30,EUR,0.73549,1.1115,0.73298,0.75196,GBP
