timestamp,base_currency,close,high,low,open,quote_currency
1988-09-01,GBP,2.06335,2.08832,1.6824,2.08832,CAD
1988-09-01,GBP,227.41043,230.2285,1.6671,229.451,JPY
1988-09-01,GBP,2.63521,2.66991,1.68,2.66878,CHF
1988-09-01,GBP,1.6687,1.6865,1.6662,1.6859,USD
1988-09-01,GBP,2.1019,2.11619,1.6855,2.1016,AUD
1988-09-02,GBP,2.08173,2.08887,1.6687,1.6687,CAD
1988-09-02,GBP,229.05238,229.40752,1.6689,227.59399,JPY
1988-09-02,GBP,2.62251,2.64439,1.6675,2.63371,CHF
1988-09-02,GBP,1.6852,1.6903,1.6662,1.6687,USD
1988-09-02,GBP,2.1131,2.12003,2.09622,2.10402,AUD
1988-09-05,GBP,2.08107,2.08154,1.685,2.07916,CAD
1988-09-05,GBP,229.28239,229.66623,1.6837,229.58841,JPY
1988-09-05,GBP,2.63456,2.63652,1.6847,2.62317,CHF
1988-09-05,GBP,1.6859,1.6871,1.6811,1.6853,USD
1988-09-05,GBP,2.10448,2.10722,1.6838,2.09614,AUD
1988-09-06,GBP,2.10486,2.10526,1.6873,2.07947,CAD
1988-09-06,GBP,229.94769,230.71895,1.6982,229.44252,JPY
1988-09-06,GBP,2.64594,2.65085,1.6887,2.63387,CHF
1988-09-06,GBP,1.7042,1.7067,1.6845,1.6846,USD
1988-09-06,GBP,2.11833,2.12343,1.6902,2.10733,AUD
1988-09-07,GBP,2.11297,2.11799,1.7027,2.10448,CAD
1988-09-07,GBP,227.71753,229.53296,1.702,229.37366,JPY
1988-09-07,GBP,2.65372,2.65952,1.703,2.64616,CHF
1988-09-07,GBP,1.7069,1.7114,1.701,1.705,USD
1988-09-07,GBP,2.12671,2.13199,1.7093,2.11749,AUD
1988-09-08,GBP,2.10839,2.11246,1.6967,2.10808,CAD
1988-09-08,GBP,227.21957,228.08034,1.6966,227.74092,JPY
1988-09-08,GBP,2.65543,2.65824,1.697,2.65201,CHF
1988-09-08,GBP,1.701,1.7037,1.6937,1.7035,USD
1988-09-08,GBP,2.11383,2.12645,1.7025,2.12327,AUD
1988-09-09,GBP,2.10261,2.11312,1.6987,2.10758,CAD
1988-09-09,GBP,226.73105,227.08536,1.6989,226.75331,JPY
1988-09-09,GBP,2.65048,2.66077,1.6969,2.65339,CHF
1988-09-09,GBP,1.6962,1.7045,1.6957,1.6998,USD
1988-09-09,GBP,2.11075,2.11784,1.6983,2.11287,AUD
1988-09-12,GBP,2.10057,2.10574,1.6947,2.09887,CAD
1988-09-12,GBP,226.63692,227.0641,1.6925,226.67413,JPY
1988-09-12,GBP,2.64248,2.65359,1.6939,2.65026,CHF
1988-09-12,GBP,1.6988,1.7001,1.6913,1.694,USD
1988-09-12,GBP,2.12509,2.12719,1.6935,2.11433,AUD
1988-09-13,GBP,2.08221,2.1027,1.6952,2.10026,CAD
1988-09-13,GBP,226.12273,226.38809,1.697,226.38809,JPY
1988-09-13,GBP,2.64739,2.64834,1.6968,2.6404,CHF
1988-09-13,GBP,1.6952,1.7005,1.694,1.6991,USD
1988-09-13,GBP,2.12885,2.13348,1.6979,2.1292,AUD
1988-09-14,GBP,2.05545,2.0857,1.6815,2.08223,CAD
1988-09-14,GBP,225.29817,226.82105,1.6768,226.20496,JPY
1988-09-14,GBP,2.65678,2.65846,1.6867,1.6948,CHF
1988-09-14,GBP,1.6797,1.6954,1.6741,1.6948,USD
1988-09-14,GBP,2.11443,2.12966,1.682,2.12834,AUD
1988-09-15,GBP,2.05397,2.05762,2.05004,2.05244,CAD
1988-09-15,GBP,224.85118,225.45599,1.6765,225.29836,JPY
1988-09-15,GBP,2.65541,2.66048,1.6768,2.65407,CHF
1988-09-15,GBP,1.68,1.6809,1.6765,1.6782,USD
1988-09-15,GBP,2.10053,2.11248,1.6775,2.11174,AUD
1988-09-16,GBP,2.05517,2.05871,1.6734,2.05684,CAD
1988-09-16,GBP,225.14714,225.33861,1.6779,224.85226,JPY
1988-09-16,GBP,2.65431,2.65751,1.6738,2.65663,CHF
1988-09-16,GBP,1.6792,1.6834,1.6724,1.6829,USD
1988-09-16,GBP,2.11061,2.11168,1.6756,2.10257,AUD
1988-09-19,GBP,2.0464,2.05724,1.6763,2.05504,CAD
1988-09-19,GBP,224.1404,225.24377,1.6766,225.08659,JPY
1988-09-19,GBP,2.6487,2.65633,1.6772,2.65445,CHF
1988-09-19,GBP,1.6782,1.6813,1.6754,1.6795,USD
1988-09-19,GBP,2.12942,2.13428,1.6762,2.11417,AUD
1988-09-20,GBP,2.04938,2.06105,1.6789,2.04357,CAD
1988-09-20,GBP,225.4153,226.31062,1.6787,224.26439,JPY
1988-09-20,GBP,2.65125,2.6613,1.6788,2.64951,CHF
1988-09-20,GBP,1.6812,1.688,1.678,1.6785,USD
1988-09-20,GBP,2.15594,2.1592,1.6782,2.13794,AUD
1988-09-21,GBP,2.03642,2.05492,1.6752,2.05144,CAD
1988-09-21,GBP,224.83495,226.18413,1.6797,225.64638,JPY
1988-09-21,GBP,2.65011,2.65751,1.6772,2.65204,CHF
1988-09-21,GBP,1.674,1.6857,1.6734,1.6833,USD
1988-09-21,GBP,2.15084,2.15833,1.6762,2.15642,AUD
1988-09-22,GBP,2.0337,2.04245,1.6726,2.03704,CAD
1988-09-22,GBP,224.68986,225.2403,1.6713,224.99904,JPY
1988-09-22,GBP,2.6446,2.6531,1.6687,2.65177,CHF
1988-09-22,GBP,1.6682,1.6755,1.6657,1.6741,USD
1988-09-22,GBP,2.12482,2.14414,2.12401,2.14381,AUD
1988-09-23,GBP,2.04544,2.04544,1.6678,1.6685,CAD
1988-09-23,GBP,224.6935,224.96471,1.668,224.66351,JPY
1988-09-23,GBP,2.64726,2.65178,1.6656,2.64624,CHF
1988-09-23,GBP,1.6722,1.6727,1.6645,1.6685,USD
1988-09-23,GBP,2.137,2.137,1.6667,2.1271,AUD
1988-09-26,GBP,2.03928,2.04192,1.6668,2.03241,CAD
1988-09-26,GBP,224.83417,225.02538,1.6623,224.15488,JPY
1988-09-26,GBP,2.66011,2.66171,1.6622,2.64254,CHF
1988-09-26,GBP,1.6725,1.6735,1.6597,1.6625,USD
1988-09-26,GBP,2.13711,2.14262,1.6611,2.1325,AUD
1988-09-27,GBP,2.04928,2.04995,2.03416,2.03782,CAD
1988-09-27,GBP,226.09395,226.1443,1.67,224.92357,JPY
1988-09-27,GBP,2.66882,2.67593,1.6715,2.66071,CHF
1988-09-27,GBP,1.6785,1.6816,1.6683,1.6713,USD
1988-09-27,GBP,2.13251,2.14654,1.6697,2.13421,AUD
1988-09-28,GBP,2.06293,2.06565,1.679,1.6795,CAD
1988-09-28,GBP,226.6499,226.76419,1.679,226.26224,JPY
1988-09-28,GBP,2.68834,2.68962,1.679,2.66839,CHF
1988-09-28,GBP,1.6894,1.6913,1.6779,1.6795,USD
1988-09-28,GBP,2.15347,2.15679,1.6789,2.1327,AUD
1988-09-29,GBP,2.04994,2.0614,2.04482,2.06115,CAD
1988-09-29,GBP,226.08078,226.61548,1.6806,226.02261,JPY
1988-09-29,GBP,2.68153,2.68757,2.67559,2.68472,CHF
1988-09-29,GBP,1.6829,1.6887,1.6798,1.6885,USD
1988-09-29,GBP,2.14355,2.15688,1.6846,2.15507,AUD
1988-09-30,GBP,2.05951,2.06205,1.68,1.68,CAD
1988-09-30,GBP,226.33093,227.14789,1.685,226.12801,JPY
1988-09-30,GBP,2.68073,2.68767,1.6803,2.67758,CHF
1988-09-30,GBP,1.6927,1.6934,1.6799,1.68,USD
1988-09-30,GBP,2.16016,2.16162,1.68,1.68,AUD
