timestamp,base_currency,close,high,low,open,quote_currency
2006-08-01,GBP,2.12131,2.12284,2.10808,2.11428,CAD
2006-08-01,GBP,215.07591,215.26326,213.62866,214.12578,JPY
2006-08-01,GBP,2.30066,2.30835,2.29747,2.29901,CHF
2006-08-01,EUR,0.68344,0.68404,0.68218,0.68355,GBP
2006-08-01,GBP,1.8761,1.8766,1.863,1.8679,USD
2006-08-01,GBP,2.4505,2.45465,2.43912,2.44042,AUD
2006-08-02,GBP,2.11448,2.12458,2.1108,2.12149,CAD
2006-08-02,GBP,215.23319,215.39308,214.39154,215.0656,JPY
2006-08-02,GBP,2.3099,2.31153,2.30023,2.30066,CHF
2006-08-02,EUR,0.68133,0.68368,0.68117,0.68344,GBP
2006-08-02,GBP,1.8772,1.8794,1.8732,1.8761,USD
2006-08-02,GBP,2.45546,2.45922,2.443,2.4505,AUD
2006-08-03,GBP,2.12378,2.12962,2.10267,2.11418,CAD
2006-08-03,GBP,217.02356,217.43727,215.06374,215.2189,JPY
2006-08-03,GBP,2.32388,2.32804,2.30857,2.30977,CHF
2006-08-03,EUR,0.67825,0.68201,0.67697,0.68137,GBP
2006-08-03,GBP,1.8878,1.8913,1.8702,1.8771,USD
2006-08-03,GBP,2.48166,2.48384,2.45321,2.45533,AUD
2006-08-04,GBP,2.14926,2.15773,2.11884,2.12389,CAD
2006-08-04,GBP,217.84415,218.52263,216.95601,217.0141,JPY
2006-08-04,GBP,2.32989,2.33567,2.3224,2.324,CHF
2006-08-04,EUR,0.67547,0.67878,0.67465,0.67827,GBP
2006-08-04,GBP,1.9074,1.9126,1.8855,1.8879,USD
2006-08-04,GBP,2.4878,2.49653,2.47344,2.48147,AUD
2006-08-07,GBP,2.1329,2.14992,2.13192,2.14888,CAD
2006-08-07,GBP,219.36632,219.73679,217.79836,217.84415,JPY
2006-08-07,GBP,2.33645,2.33786,2.32858,2.33008,CHF
2006-08-07,EUR,0.6732,0.67576,0.673,0.67547,GBP
2006-08-07,GBP,1.9042,1.9114,1.9041,1.9074,USD
2006-08-07,GBP,2.49633,2.50433,2.48741,2.4878,AUD
2006-08-08,GBP,2.14082,2.14515,2.1303,2.13282,CAD
2006-08-08,GBP,219.83975,219.97435,219.00464,219.34413,JPY
2006-08-08,GBP,2.33828,2.34091,2.33323,2.33658,CHF
2006-08-08,EUR,0.67272,0.6744,0.67236,0.67321,GBP
2006-08-08,GBP,1.906,1.9136,1.9035,1.9043,USD
2006-08-08,GBP,2.50988,2.51205,2.49326,2.49646,AUD
2006-08-09,GBP,2.1333,2.14132,2.1317,2.14078,CAD
2006-08-09,GBP,219.6984,220.12006,219.2025,219.80164,JPY
2006-08-09,GBP,2.3356,2.34017,2.33146,2.33803,CHF
2006-08-09,EUR,0.67531,0.67559,0.67253,0.67279,GBP
2006-08-09,GBP,1.9049,1.9109,1.8975,1.9058,USD
2006-08-09,GBP,2.49137,2.51413,2.48558,2.50961,AUD
2006-08-10,GBP,2.1348,2.13933,2.1268,2.13311,CAD
2006-08-10,GBP,218.24358,219.93106,218.05913,219.69496,JPY
2006-08-10,GBP,2.33726,2.34074,2.32529,2.3356,CHF
2006-08-10,EUR,0.67554,0.6769,0.67446,0.67526,GBP
2006-08-10,GBP,1.8939,1.9086,1.8871,1.9049,USD
2006-08-10,GBP,2.4673,2.49169,2.46163,2.49169,AUD
2006-08-11,GBP,2.12723,2.13851,2.1168,2.13469,CAD
2006-08-11,GBP,219.8855,220.29904,218.11458,218.22314,JPY
2006-08-11,GBP,2.34757,2.35027,2.33644,2.33714,CHF
2006-08-11,EUR,0.67275,0.67568,0.6725,0.67557,GBP
2006-08-11,GBP,1.8897,1.8987,1.8889,1.8938,USD
2006-08-11,GBP,2.46729,2.47406,2.4605,2.46717,AUD
2006-08-14,GBP,2.13011,2.13068,2.12106,2.12727,CAD
2006-08-14,GBP,220.27728,220.53566,219.87065,219.90877,JPY
2006-08-14,GBP,2.34526,2.3482,2.34188,2.34763,CHF
2006-08-14,EUR,0.67357,0.6749,0.67254,0.67273,GBP
2006-08-14,GBP,1.8889,1.8952,1.8845,1.8899,USD
2006-08-14,GBP,2.4854,2.48874,2.46319,2.46723,AUD
2006-08-15,GBP,2.12552,2.14059,2.1236,2.13011,CAD
2006-08-15,GBP,219.87215,220.57326,219.70604,220.26842,JPY
2006-08-15,GBP,2.34313,2.34976,2.34168,2.34526,CHF
2006-08-15,EUR,0.67506,0.67547,0.67315,0.67357,GBP
2006-08-15,GBP,1.8939,1.8976,1.8859,1.8889,USD
2006-08-15,GBP,2.47569,2.49098,2.47373,2.4854,AUD
2006-08-16,GBP,2.12351,2.12752,2.1174,2.12552,CAD
2006-08-16,GBP,219.70479,220.26149,219.31427,219.88747,JPY
2006-08-16,GBP,2.33175,2.34415,2.33009,2.34294,CHF
2006-08-16,EUR,0.67725,0.67768,0.67499,0.67506,GBP
2006-08-16,GBP,1.8965,1.9022,1.8883,1.8939,USD
2006-08-16,GBP,2.46619,2.47926,2.46571,2.47536,AUD
2006-08-17,GBP,2.11734,2.12518,2.11276,2.12329,CAD
2006-08-17,GBP,218.78937,219.73183,218.47565,219.68123,JPY
2006-08-17,GBP,2.32457,2.33189,2.322,2.33131,CHF
2006-08-17,EUR,0.68026,0.68097,0.67709,0.67732,GBP
2006-08-17,GBP,1.8856,1.9002,1.8823,1.8963,USD
2006-08-17,GBP,2.47617,2.4827,2.46528,2.46593,AUD
2006-08-18,GBP,2.1177,2.12081,2.10896,2.11783,CAD
2006-08-18,GBP,217.80968,218.89696,217.50897,218.74762,JPY
2006-08-18,GBP,2.31939,2.32682,2.31726,2.3245,CHF
2006-08-18,EUR,0.68178,0.68203,0.68003,0.68028,GBP
2006-08-18,GBP,1.8814,1.8869,1.878,1.8857,USD
2006-08-18,GBP,2.47781,2.48552,2.4731,2.4763,AUD
2006-08-21,GBP,2.11555,2.1263,2.11427,2.11759,CAD
2006-08-21,GBP,219.46268,219.83566,217.76329,217.77928,JPY
2006-08-21,GBP,2.31787,2.3232,2.31261,2.31927,CHF
2006-08-21,EUR,0.68092,0.68285,0.67976,0.68187,GBP
2006-08-21,GBP,1.8926,1.8995,1.8813,1.8813,USD
2006-08-21,GBP,2.48373,2.48844,2.47761,2.47768,AUD
2006-08-22,GBP,2.10606,2.12106,2.10459,2.11551,CAD
2006-08-22,GBP,219.96712,220.35263,219.27919,219.43874,JPY
2006-08-22,GBP,2.32979,2.33283,2.31762,2.31762,CHF
2006-08-22,EUR,0.67828,0.68099,0.67755,0.68099,GBP
2006-08-22,GBP,1.888,1.8948,1.8857,1.8924,USD
2006-08-22,GBP,2.47639,2.48596,2.47334,2.48314,AUD
2006-08-23,GBP,2.10558,2.10937,2.09589,2.10629,CAD
2006-08-23,GBP,220.36319,220.75708,219.54672,219.98776,JPY
2006-08-23,GBP,2.33899,2.34033,2.32985,2.33004,CHF
2006-08-23,EUR,0.67554,0.6784,0.6752,0.67826,GBP
2006-08-23,GBP,1.893,1.8994,1.8868,1.8882,USD
2006-08-23,GBP,2.48197,2.48322,2.469,2.47665,AUD
2006-08-24,GBP,2.09512,2.107,2.09318,2.10566,CAD
2006-08-24,GBP,219.8945,220.52534,219.84242,220.36839,JPY
2006-08-24,GBP,2.33824,2.34086,2.3313,2.33887,CHF
2006-08-24,EUR,0.67629,0.6779,0.67477,0.67558,GBP
2006-08-24,GBP,1.8875,1.8971,1.8861,1.8929,USD
2006-08-24,GBP,2.47931,2.48823,2.47601,2.48152,AUD
2006-08-25,GBP,2.0935,2.09626,2.08693,2.09509,CAD
2006-08-25,GBP,221.35428,221.64391,219.78151,219.85496,JPY
2006-08-25,GBP,2.33906,2.34216,2.33183,2.3378,CHF
2006-08-25,EUR,0.67601,0.67802,0.67504,0.67631,GBP
2006-08-25,GBP,1.8874,1.8913,1.8835,1.8873,USD
2006-08-25,GBP,2.49195,2.49914,2.47747,2.47905,AUD
2006-08-28,GBP,2.10371,2.10924,2.09178,2.09362,CAD
2006-08-28,GBP,221.98009,222.36183,221.21632,221.34712,JPY
2006-08-28,GBP,2.34156,2.34437,2.33615,2.33918,CHF
2006-08-28,EUR,0.67513,0.67689,0.67394,0.67597,GBP
2006-08-28,GBP,1.8937,1.8989,1.8864,1.8875,USD
2006-08-28,GBP,2.49467,2.5027,2.48953,2.49142,AUD
2006-08-29,GBP,2.10427,2.10982,2.09868,2.10368,CAD
2006-08-29,GBP,221.56433,222.1283,221.03415,221.95569,JPY
2006-08-29,GBP,2.33373,2.3428,2.33155,2.34131,CHF
2006-08-29,EUR,0.67549,0.67587,0.67358,0.6752,GBP
2006-08-29,GBP,1.8995,1.9028,1.8901,1.8935,USD
2006-08-29,GBP,2.48561,2.4977,2.48351,2.49473,AUD
2006-08-30,GBP,2.111,2.11747,2.10226,2.10427,CAD
2006-08-30,GBP,222.99286,223.25055,221.49234,221.5573,JPY
2006-08-30,GBP,2.33722,2.3421,2.33043,2.33354,CHF
2006-08-30,EUR,0.67414,0.67626,0.67324,0.67555,GBP
2006-08-30,GBP,1.9042,1.9059,1.8974,1.8995,USD
2006-08-30,GBP,2.49469,2.49659,2.4845,2.48528,AUD
2006-08-31,GBP,2.10172,2.1165,2.10124,2.111,CAD
2006-08-31,GBP,223.46266,223.84593,222.83196,222.98219,JPY
2006-08-31,GBP,2.34484,2.34752,2.33456,2.3374,CHF
2006-08-31,EUR,0.67267,0.67482,0.67225,0.67414,GBP
2006-08-31,GBP,1.9039,1.909,1.8999,1.9042,USD
2006-08-31,GBP,2.49234,2.50256,2.49038,2.49437,AUD
