timestamp,base_currency,close,high,low,open,quote_currency
2001-12-03,GBP,2.24574,2.24873,2.23504,2.24039,CAD
2001-12-03,GBP,176.87122,176.92845,175.41402,175.69122,JPY
2001-12-03,GBP,2.358,2.35946,2.33554,2.33837,CHF
2001-12-03,EUR,0.62572,0.62997,0.62522,0.62903,GBP
2001-12-03,GBP,1.4246,1.426,1.4191,1.4241,USD
2001-12-03,GBP,2.75498,2.75851,2.72466,2.72868,AUD
2001-12-04,GBP,2.236,2.24763,2.23206,2.2459,CAD
2001-12-04,GBP,176.67949,176.98099,175.92995,176.7839,JPY
2001-12-04,GBP,2.35272,2.35957,2.34908,2.35788,CHF
2001-12-04,EUR,0.62559,0.62693,0.62491,0.62575,GBP
2001-12-04,GBP,1.4233,1.4258,1.4205,1.4247,USD
2001-12-04,GBP,2.76853,2.77083,2.74812,2.75571,AUD
2001-12-05,GBP,2.23195,2.24111,2.2213,2.23612,CAD
2001-12-05,GBP,175.84612,176.92436,175.71208,176.66064,JPY
2001-12-05,GBP,2.34936,2.36037,2.34648,2.35238,CHF
2001-12-05,EUR,0.62727,0.62796,0.62472,0.62575,GBP
2001-12-05,GBP,1.4163,1.4243,1.4141,1.4231,USD
2001-12-05,GBP,2.73364,2.77462,2.73234,2.76814,AUD
2001-12-06,GBP,2.24656,2.25146,2.22482,2.23223,CAD
2001-12-06,GBP,178.02156,178.28172,175.34654,175.84145,JPY
2001-12-06,GBP,2.35339,2.3603,2.34744,2.3495,CHF
2001-12-06,EUR,0.62645,0.62755,0.62501,0.62727,GBP
2001-12-06,GBP,1.4282,1.4293,1.415,1.4163,USD
2001-12-06,GBP,2.75236,2.75453,2.73364,2.73364,AUD
2001-12-07,GBP,2.25905,2.25905,2.2421,2.24687,CAD
2001-12-07,GBP,180.05162,180.05225,177.78239,178.02464,JPY
2001-12-07,GBP,2.37775,2.37975,2.3521,2.35358,CHF
2001-12-07,EUR,0.62086,0.6267,0.62012,0.62636,GBP
2001-12-07,GBP,1.4335,1.4337,1.424,1.4284,USD
2001-12-07,GBP,2.78404,2.78852,2.74465,2.75275,AUD
2001-12-10,GBP,2.26621,2.26668,2.25101,2.25748,CAD
2001-12-10,GBP,180.8192,181.18941,179.73386,179.85039,JPY
2001-12-10,GBP,2.38707,2.39277,2.37521,2.37637,CHF
2001-12-10,EUR,0.62059,0.62236,0.61872,0.62108,GBP
2001-12-10,GBP,1.4354,1.4357,1.4274,1.4325,USD
2001-12-10,GBP,2.78827,2.79137,2.77062,2.78209,AUD
2001-12-11,GBP,2.26347,2.26971,2.25875,2.26605,CAD
2001-12-11,GBP,181.3184,181.60893,180.27168,180.81436,JPY
2001-12-11,GBP,2.37935,2.38808,2.37746,2.38676,CHF
2001-12-11,EUR,0.62035,0.62233,0.61887,0.62064,GBP
2001-12-11,GBP,1.4395,1.4397,1.4314,1.4353,USD
2001-12-11,GBP,2.79081,2.79572,2.77502,2.78807,AUD
2001-12-12,GBP,2.26622,2.26753,2.2529,2.26315,CAD
2001-12-12,GBP,182.364,183.05456,180.91948,181.30431,JPY
2001-12-12,GBP,2.37542,2.38485,2.36857,2.37916,CHF
2001-12-12,EUR,0.62106,0.62282,0.61864,0.62044,GBP
2001-12-12,GBP,1.4464,1.4477,1.4384,1.4393,USD
2001-12-12,GBP,2.78154,2.79008,2.77347,2.78988,AUD
2001-12-13,GBP,2.26363,2.26979,2.25956,2.26622,CAD
2001-12-13,GBP,181.60875,183.05038,181.31949,182.35388,JPY
2001-12-13,GBP,2.37932,2.38394,2.36757,2.37542,CHF
2001-12-13,EUR,0.62005,0.62177,0.61909,0.62106,GBP
2001-12-13,GBP,1.4407,1.4488,1.4397,1.4464,USD
2001-12-13,GBP,2.77538,2.79424,2.77212,2.78207,AUD
