timestamp,base_currency,close,high,low,open,quote_currency
1997-11-03,EUR,0.67728,0.68232,0.67665,0.68228,GBP
1997-11-04,EUR,0.67996,0.68203,0.67693,0.6773,GBP
1997-11-05,EUR,0.68339,0.68458,0.67929,0.68034,GBP
1997-11-06,EUR,0.67803,0.68521,0.67663,0.68339,GBP
1997-11-07,EUR,0.68475,0.68503,0.67695,0.67803,GBP
1997-11-10,EUR,0.682,0.6861,0.68132,0.68475,GBP
1997-11-11,EUR,0.67768,0.68277,0.67596,0.682,GBP
1997-11-12,EUR,0.67604,0.67905,0.6727,0.67768,GBP
1997-11-13,EUR,0.67589,0.67693,0.673,0.67604,GBP
1997-11-14,EUR,0.67511,1.14657,0.67435,0.67589,GBP
1997-11-17,EUR,0.67422,0.67804,0.67366,0.67511,GBP
1997-11-18,EUR,0.67672,0.67769,0.67365,0.67372,GBP
1997-11-19,EUR,0.67624,0.67781,0.67517,0.67672,GBP
1997-11-20,EUR,0.67424,0.67686,0.67362,0.676,GBP
1997-11-21,EUR,0.67362,1.13881,0.67083,0.67424,GBP
1997-11-24,EUR,0.67398,0.67595,0.67345,0.67345,GBP
1997-11-25,EUR,0.67494,1.13316,0.67369,0.67398,GBP
1997-11-26,EUR,0.67175,1.13477,0.67086,0.67505,GBP
1997-11-27,EUR,0.67065,0.67281,0.67,0.67173,GBP
1997-11-28,EUR,0.66561,0.67225,0.66455,0.671,GBP
