timestamp,base_currency,close,high,low,open,quote_currency
1989-11-01,GBP,1.84862,1.86046,1.5749,1.85287,CAD
1989-11-01,GBP,226.37614,226.80838,1.5744,225.62401,JPY
1989-11-01,GBP,2.5589,2.56464,1.5752,2.55028,CHF
1989-11-01,EUR,0.19004,0.2989,0.18905,0.2989,GBP
1989-11-01,GBP,1.5749,1.5832,1.5735,1.58,USD
1989-11-01,GBP,2.01988,2.02612,1.5742,2.02486,AUD
1989-11-02,GBP,1.84082,1.85098,1.567,1.84818,CAD
1989-11-02,GBP,225.15372,226.68703,1.5662,226.66095,JPY
1989-11-02,GBP,2.53869,2.55945,1.5667,2.55622,CHF
1989-11-02,EUR,0.19121,0.3002,0.19063,0.2993,GBP
1989-11-02,GBP,1.57,1.5753,1.5643,1.5748,USD
1989-11-02,GBP,2.01955,2.02352,1.5668,2.02157,AUD
1989-11-03,GBP,1.83954,1.84806,1.5705,1.5705,CAD
1989-11-03,GBP,224.88612,225.86766,1.5707,225.05266,JPY
1989-11-03,GBP,2.54287,2.54741,1.5687,2.53903,CHF
1989-11-03,EUR,0.19115,0.3002,0.19056,0.3002,GBP
1989-11-03,GBP,1.5689,1.5755,1.5674,1.5705,USD
1989-11-03,GBP,2.01193,2.02287,1.5732,2.01838,AUD
1989-11-06,GBP,1.84686,1.85226,1.5688,1.5688,CAD
1989-11-06,GBP,226.94192,227.20839,1.5737,224.74628,JPY
1989-11-06,GBP,2.56027,2.5669,1.5734,2.546,CHF
1989-11-06,EUR,0.19007,0.2998,0.18965,0.19053,GBP
1989-11-06,GBP,1.5773,1.5808,1.5658,1.5688,USD
1989-11-06,GBP,2.01546,2.02045,1.5666,2.01102,AUD
1989-11-07,GBP,1.85662,1.8592,1.5812,1.85174,CAD
1989-11-07,GBP,226.58382,227.65976,1.5797,227.45563,JPY
1989-11-07,GBP,2.56217,2.56737,1.5805,2.5666,CHF
1989-11-07,EUR,0.18877,0.2998,0.18856,0.2998,GBP
1989-11-07,GBP,1.5855,1.5873,1.5784,1.5812,USD
1989-11-07,GBP,2.01923,2.02514,1.58,2.02251,AUD
1989-11-08,GBP,1.85972,1.85972,1.5852,1.5852,CAD
1989-11-08,GBP,227.59091,227.59091,1.587,226.73114,JPY
1989-11-08,GBP,2.56989,2.571,1.5851,2.56295,CHF
1989-11-08,EUR,0.18803,0.2993,0.18803,0.2993,GBP
1989-11-08,GBP,1.5891,1.5893,1.5838,1.5852,USD
1989-11-08,GBP,2.0251,2.02562,1.5852,1.5852,AUD
1989-11-09,GBP,1.84767,1.85994,1.5875,1.5875,CAD
1989-11-09,GBP,226.5687,227.52051,1.5867,227.52051,JPY
1989-11-09,GBP,2.57287,2.57395,1.5842,2.56778,CHF
1989-11-09,EUR,0.18871,0.2988,0.1879,0.2988,GBP
1989-11-09,GBP,1.5834,1.5931,1.5806,1.5875,USD
1989-11-09,GBP,2.00863,2.02254,1.5875,1.5875,AUD
1989-11-10,GBP,1.84469,1.85434,1.5777,1.84578,CAD
1989-11-10,GBP,226.26514,226.58536,1.5827,226.35316,JPY
1989-11-10,GBP,2.59402,2.5953,1.5837,2.57285,CHF
1989-11-10,EUR,0.19027,0.3001,0.18849,0.2988,GBP
1989-11-10,GBP,1.5772,1.5864,1.5752,1.583,USD
1989-11-10,GBP,2.0061,2.01333,1.5807,2.00939,AUD
1989-11-13,GBP,1.8488,1.8513,1.5741,1.5792,CAD
1989-11-13,GBP,227.72604,227.98367,1.5785,226.14143,JPY
1989-11-13,GBP,2.59576,2.60094,1.5742,2.59147,CHF
1989-11-13,EUR,0.18904,0.3001,0.1888,0.3001,GBP
1989-11-13,GBP,1.5822,1.5842,1.5718,1.5792,USD
1989-11-13,GBP,2.00203,2.0107,1.578,1.5792,AUD
1989-11-14,GBP,1.86403,1.86903,1.5821,1.85004,CAD
1989-11-14,GBP,228.07604,228.48875,1.5788,227.71875,JPY
1989-11-14,GBP,2.57972,2.59757,1.5825,2.59189,CHF
1989-11-14,EUR,0.1875,0.2991,0.18703,0.2991,GBP
1989-11-14,GBP,1.5936,1.5976,1.5788,1.5838,USD
1989-11-14,GBP,2.03343,2.03639,1.5789,2.00659,AUD
1989-11-15,GBP,1.85057,1.86105,1.5802,1.86063,CAD
1989-11-15,GBP,227.31177,228.16531,1.5872,227.81369,JPY
1989-11-15,GBP,2.57067,2.5827,1.5822,2.57583,CHF
1989-11-15,EUR,0.18896,0.2988,0.1876,0.2988,GBP
1989-11-15,GBP,1.5802,1.592,1.5771,1.5911,USD
1989-11-15,GBP,2.01891,2.02816,1.5906,2.02765,AUD
1989-11-16,GBP,1.84351,1.85331,1.5767,1.85038,CAD
1989-11-16,GBP,227.24023,227.91328,1.5764,227.18964,JPY
1989-11-16,GBP,2.5729,2.58458,1.5731,2.57002,CHF
1989-11-16,EUR,0.1893,0.2986,0.18871,0.2986,GBP
1989-11-16,GBP,1.5774,1.5824,1.5724,1.5799,USD
1989-11-16,GBP,2.01662,2.02729,1.5757,2.01982,AUD
1989-11-17,GBP,1.83338,1.84668,1.5663,1.84207,CAD
1989-11-17,GBP,226.18652,227.87857,1.5785,227.16597,JPY
1989-11-17,GBP,2.55896,2.58279,1.5767,2.57077,CHF
1989-11-17,EUR,0.19033,0.2986,0.18892,0.2986,GBP
1989-11-17,GBP,1.5678,1.5795,1.5658,1.5759,USD
1989-11-17,GBP,2.00332,2.02022,1.5696,2.01496,AUD
1989-11-20,GBP,1.8257,1.83436,1.5579,1.82968,CAD
1989-11-20,GBP,225.02951,226.82326,1.564,226.27364,JPY
1989-11-20,GBP,2.54021,2.56361,1.5598,2.56062,CHF
1989-11-20,EUR,0.19163,0.2987,0.19112,0.2984,GBP
1989-11-20,GBP,1.5587,1.5685,1.5545,1.5645,USD
1989-11-20,GBP,1.99552,2.00678,1.563,2.00218,AUD
1989-11-21,GBP,1.83737,1.8446,1.56,1.82645,CAD
1989-11-21,GBP,225.46234,226.56558,1.5595,225.17038,JPY
1989-11-21,GBP,2.53274,2.54804,1.5593,2.54202,CHF
1989-11-21,EUR,0.18989,0.2987,0.18932,0.2987,GBP
1989-11-21,GBP,1.5704,1.5751,1.5581,1.56,USD
1989-11-21,GBP,2.02007,2.02236,1.559,2.00411,AUD
1989-11-22,GBP,1.83358,1.84122,1.565,1.83185,CAD
1989-11-22,GBP,224.46805,226.23509,1.5657,225.45621,JPY
1989-11-22,GBP,2.52638,2.53769,1.5655,2.53266,CHF
1989-11-22,EUR,0.1898,0.2982,0.18912,0.2982,GBP
1989-11-22,GBP,1.5685,1.5741,1.561,1.5685,USD
1989-11-22,GBP,2.01244,2.02505,1.5659,2.01555,AUD
1989-11-23,GBP,1.82668,1.8335,1.5622,1.8315,CAD
1989-11-23,GBP,225.15988,226.22728,1.5622,224.66576,JPY
1989-11-23,GBP,2.52483,2.53453,1.5631,2.52729,CHF
1989-11-23,EUR,0.19082,0.2981,0.18982,0.2977,GBP
1989-11-23,GBP,1.5622,1.5683,1.5592,1.5678,USD
1989-11-23,GBP,1.99847,2.0235,1.5614,2.02166,AUD
1989-11-24,GBP,1.82531,1.8306,1.5637,1.82671,CAD
1989-11-24,GBP,224.54732,225.61026,1.5637,224.93825,JPY
1989-11-24,GBP,2.5174,2.529,1.5627,2.52225,CHF
1989-11-24,EUR,0.19038,0.2981,0.1898,0.2981,GBP
1989-11-24,GBP,1.5637,1.5686,1.5612,1.5637,USD
1989-11-24,GBP,1.99553,2.00627,1.5637,2.00115,AUD
1989-11-27,GBP,1.81799,1.82577,1.5595,1.82184,CAD
1989-11-27,GBP,223.22899,224.11598,1.5571,223.50397,JPY
1989-11-27,GBP,2.49826,2.50992,1.5557,2.50619,CHF
1989-11-27,EUR,0.19062,0.2977,0.19004,0.2977,GBP
1989-11-27,GBP,1.5581,1.5645,1.5533,1.561,USD
1989-11-27,GBP,1.98206,2.00013,1.5572,1.99591,AUD
1989-11-28,GBP,1.8286,1.83206,1.5605,1.82063,CAD
1989-11-28,GBP,224.496,225.06139,1.5595,223.66647,JPY
1989-11-28,GBP,2.48778,2.51766,1.5607,2.50304,CHF
1989-11-28,EUR,0.1894,0.297,0.18902,0.297,GBP
1989-11-28,GBP,1.5676,1.5707,1.5569,1.5605,USD
1989-11-28,GBP,1.99949,2.0,1.5602,1.98512,AUD
1989-11-29,GBP,1.82638,1.82966,1.5659,1.82857,CAD
1989-11-29,GBP,223.94134,225.0486,1.5602,224.68278,JPY
1989-11-29,GBP,2.49435,2.49999,1.5605,2.48888,CHF
1989-11-29,EUR,0.18923,0.2969,0.18903,0.2969,GBP
1989-11-29,GBP,1.5669,1.5685,1.5602,1.5677,USD
1989-11-29,GBP,2.01168,2.01246,1.5647,2.00217,AUD
1989-11-30,GBP,1.82915,1.83087,1.5665,1.82544,CAD
