tradingClass,symbol,exchange,ex_symbol,data_symbol,hold_cycle,priced_cycle,roll_offset,expiry_offset,carry_offset,open,close,session,description
E7,E7,CME,E7,EUA,HMUZ,HMUZ,-5,17,1,07:00,22:00,22,European Monetary Union Euro
6L,BRE,CME,6L,BR6,FGHJKMNQUVXZ,FGHJKMNQUVXZ,-5,17,1,07:00,22:00,22,Brazilian Real in US Dollars
6M,MXP,CME,6M,MXA,HMUZ,HMUZ,-5,17,1,07:00,22:00,22,Mexican Peso
RY,RY,CME,RY,YR,HMUZ,HMUZ,-5,15,1,07:00,22:00,22,European Monetary Union Euro
6Z,ZAR,CME,6Z,SAA,HMUZ,HMUZ,-5,12,1,07:00,22:00,22,South African Rand
M6A,M6A,CME,M6A,DAA,HMUZ,HMUZ,-5,17,1,07:00,22:00,22,Australian dollar
XAP,IXR,CME,XAP,,HMUZ,HMUZ,-5,15,1,07:00,22:00,22,Consumer Staples Select Sector Index
FTI,EOE,FTA,FTI,FTI,FGHJKMNQUVXZ,FGHJKMNQUVXZ,-5,19,1,08:00,17:30,17,AMS EOE Index
FSTE,SXEP,EUREX,FSTE,FSTE,HMUZ,HMUZ,-5,15,1,08:00,21:05,21,Dow Jones STOXX 600 Oil & Gas
MFA,EOE,FTA,FTI,FTI,FGHJKMNQUVXZ,FGHJKMNQUVXZ,-5,19,1,08:00,17:30,17,AMS EOE Index
FDAX,DAX,EUREX,FDXS,DD,HMUZ,HMUZ,-5,15,1,01:15,21:05,21,DAX 40 Index (Deutsche Aktien Xchange 40)
FMEU,M7EU,EUREX,FMEU,FMEU,HMUZ,HMUZ,-5,19,1,01:15,21:05,21,MSCI Europe Net Return EUR Index
FESB,SX7E,EUREX,FESB,ESB,HMUZ,HMUZ,-10,18,1,01:15,21:05,21,Dow Jones Euro STOXX Banks Index
FESU,ESU,EUREX,FESU,ESU,HMUZ,HMUZ,-5,15,1,08:00,21:05,21,Dow Jones Euro STOXX Utilities Index
Z,Z,ICEEU,Z,QFA,HMUZ,HMUZ,-30,17,1,02:00,21:00,21,FTSE 100 Index
FDXS,DAX,EUREX,FDXS,DD,HMUZ,HMUZ,-5,15,1,01:15,21:05,21,DAX 40 Index (Deutsche Aktien Xchange 40)
